,112156,,Car Mechanic                            ,
David               ,101024,48,Farmer                                  ,
David               ,101024,66,Porter                                  ,
Lilian              ,112156,72,Baby siter                              ,
Lilian              ,112156,82,Nurse                                   ,
,,65,Fashion Model                           ,
Joseph              ,,,Snake Charmer                           ,
,62068,,Car Mechanic                            ,
,,,Car Mechanic                            ,
,20434,71,Photographer                            ,
Peter               ,20434,81,Movie Producer                          ,
Tom                 ,,,Car Mechanic                            ,
Yolanda             ,,,Car Mechanic                            ,
Lilian              ,112156,,Car Mechanic                            ,
Lilian              ,,,Soccer Player                           ,
David               ,101024,,Monk                                    ,
Mary                ,121245,,Fireman                                 ,
,,,Artist                                  ,
John                ,,,Gardener                                ,
