E6 ,ALICE               ,15,Gaithersburg   ,
E7 ,SULLIVAN            ,15,Gaithersburg   ,
E13,ff                  ,82,gg             ,
E6 ,Fidel               ,0,Havana         ,
E9 ,JOHNNY              ,,,
E8 ,Yang Ling           ,15,Xi'an          ,
E7 ,yanping             ,15,China          ,
E36,Huyan               ,15,Xi_an%         ,
E6 ,ALICE               ,15,Gaithersburg   ,
E9 ,JOHNNY              ,,,
E8 ,Yang Ling           ,15,Xi'an          ,
E7 ,yanping             ,15,China          ,
E36,Huyan               ,15,Xi_an%         ,
